word,Early,Late,Shakespeare
accomplice,1.8022077044379365e-05,3.524690456648825e-05,0.0
accomplished,0.00011714350078846587,6.0423264971122714e-05,0.0
accomplishment,2.7033115566569047e-05,3.0211632485561357e-05,1.8515775440675455e-05
accomplishments,1.8022077044379365e-05,5.035272080926893e-05,0.0
account,0.0005767064654201397,0.0007401849958962532,0.00012961042808472818
accounted,3.604415408875873e-05,1.0070544161853786e-05,1.8515775440675455e-05
accounting,2.7033115566569047e-05,2.0141088323707573e-05,0.0
accounts,5.4066231133138094e-05,0.00018630506699429504,0.0
accumulated,9.011038522189682e-06,0.00011077598578039164,0.0
accumulating,9.011038522189682e-06,1.5105816242780679e-05,0.0
accumulation,9.011038522189682e-06,2.5176360404634465e-05,0.0
accurate,2.7033115566569047e-05,5.538799289019582e-05,1.8515775440675455e-05
accusation,8.109934669970714e-05,5.035272080926893e-05,5.554732632202637e-05
accuse,9.011038522189682e-05,3.524690456648825e-05,0.00011109465264405274
accused,5.4066231133138094e-05,0.00016616397867058746,1.8515775440675455e-05
accuser,1.8022077044379365e-05,2.5176360404634465e-05,0.0
accusing,9.011038522189682e-06,5.035272080926893e-06,0.0
accustomed,6.307726965532778e-05,0.00018126979491336814,0.0
achelous,6.307726965532778e-05,0.0,0.0
acherontis,9.011038522189682e-06,0.0,0.0
achieve,1.8022077044379365e-05,0.0,0.0
achieved,3.604415408875873e-05,4.5317448728342034e-05,0.0
achievement,9.011038522189682e-06,1.0070544161853786e-05,0.0
achieving,9.011038522189682e-06,0.0,0.0
achilles,2.7033115566569047e-05,1.0070544161853786e-05,0.0
acknowledge,9.91214237440865e-05,0.000140987618265953,7.406310176270182e-05
acknowledged,3.604415408875873e-05,0.0004330333989597128,3.703155088135091e-05
acknowledges,1.8022077044379365e-05,1.5105816242780679e-05,0.0
acknowledgment,2.7033115566569047e-05,3.0211632485561357e-05,0.0
acquaint,3.604415408875873e-05,8.559962537575718e-05,0.00012961042808472818
acquaintance,9.011038522189682e-05,0.0003625395898267363,3.703155088135091e-05
acquaintances,9.011038522189682e-06,2.5176360404634465e-05,0.0
acquainted,9.011038522189682e-05,0.0003575043177458094,1.8515775440675455e-05
acquaints,9.011038522189682e-06,5.035272080926893e-06,1.8515775440675455e-05
acquire,1.8022077044379365e-05,7.552908121390339e-05,3.703155088135091e-05
acquired,7.208830817751746e-05,0.0003726101339885901,0.0
acquiring,9.011038522189682e-06,3.524690456648825e-05,0.0
acres,2.7033115566569047e-05,1.0070544161853786e-05,3.703155088135091e-05
acteon,3.604415408875873e-05,0.0,0.0
acting,4.505519261094841e-05,7.552908121390339e-05,1.8515775440675455e-05
action,0.00044154088758729444,0.0003625395898267363,0.00025922085616945635
actions,0.00033340842532101825,0.0002064461553180026,0.00011109465264405274
actiue,9.011038522189682e-06,0.0,0.0
actium,1.8022077044379365e-05,1.5105816242780679e-05,0.0
active,0.00011714350078846587,0.0003474337735839556,0.0
activity,4.505519261094841e-05,0.00012084652994224543,0.0
actor,6.307726965532778e-05,5.035272080926893e-06,5.554732632202637e-05
actors,0.00010813246226627619,2.0141088323707573e-05,9.257887720337727e-05
acts,0.00016219869339941428,0.0005287035684973237,7.406310176270182e-05
actual,0.0001531876548772246,0.00011077598578039164,1.8515775440675455e-05
actuated,9.011038522189682e-06,8.056435329483029e-05,0.0
aculeate,9.011038522189682e-06,0.0,0.0
ad,0.00014417661635503492,0.0,1.8515775440675455e-05
adage,9.011038522189682e-06,0.0,0.0
adagies,9.011038522189682e-06,0.0,0.0
